RDF Type	Class type	Parent	ID	See Also	Label	Label	Label	Label	Abbreviation	Definition	Editors Note	Citation
owl:Class	subclass	ADO:00011	ADO:00083		Doctor of Health Science				DHSc	Doctor of Health Science		
owl:Class	subclass	ADO:00011	ADO:00084	http://vivoweb.org/ontology/degree/academicDegree65	Doctor of Humane Letters				LHD	Doctor of Humane Letters		
owl:Class	subclass	ADO:00011	ADO:00085	http://vivoweb.org/ontology/degree/academicDegree101	Doctor of Juridical Science				SJD	Doctor of Juridical Science		
owl:Class	subclass	ADO:00011	ADO:00086	http://vivoweb.org/ontology/degree/academicDegree64	Doctor of Juristic Science				JSD	Doctor of Juristic Science		
owl:Class	subclass	ADO:00011	ADO:00087	http://vivoweb.org/ontology/degree/academicDegree69	Doctor of Laws				LLD	Doctor of Laws		
owl:Class	subclass	ADO:00011	ADO:00088	http://vivoweb.org/ontology/degree/academicDegree45	Doctor of Library Science				DLS	Doctor of Library Science		
owl:Class	subclass	ADO:00011	ADO:00089	http://vivoweb.org/ontology/degree/academicDegree48	Doctor of Medical Science				DMS	Doctor of Medical Science		
owl:Class	subclass	ADO:00011	ADO:00013	http://vivoweb.org/ontology/degree/academicDegree77	Doctor of Medicine				MD	Degree required to practice medicine		
owl:Class	subclass	ADO:00011	ADO:00090		Doctor of Musical Art				DMA	Doctor of Musical Arts		
owl:Class	subclass	ADO:00011	ADO:00091		Doctor of Naturopathic Medicine				ND	Doctor of Naturopathic Medicine		
owl:Class	subclass	ADO:00011	ADO:00092		Doctor of Nursing Practice				DNP	Doctor of Nursing Practice		
owl:Class	subclass	ADO:00011	ADO:00093	http://vivoweb.org/ontology/degree/academicDegree95	Doctor of Optometry				OD	Doctor of Optometry		
owl:Class	subclass	ADO:00011	ADO:00094	http://vivoweb.org/ontology/degree/academicDegree47	Doctor of Osteopathic Medicine				DO	Doctor of Osteopathic Medicine		
owl:Class	subclass	ADO:00011	ADO:00095	http://vivoweb.org/ontology/degree/academicDegree96	Doctor of Pharmacy				PharmD	Doctor of Pharmacy		
